Fiscal Year,Service,Department,Program,Expense Category,Fund,Fund Type,Expense Type,Description,Recommended Amount,Approved Amount
2018,Public Safety,Police,Narcotics Investigations,Narcotics Investigations,NA,NA,Expense,Narcotics Investigations,,5240330
2019,Neighborhoods & Development,Neighborhoods,Community Building,Community Engagement Coordinators,NA,NA,Expense,Community Engagement Coordinators,,1895322
2018,"Arts, Culture & Recreation",2012 Library Levy,Library Levy Operating Transfer,Library Levy Operating Transfer,NA,NA,Expense,Library Levy Operating Transfer,,15406132
2019,"Arts, Culture & Recreation",Arts and Culture,Arts and Cultural Programs,Activations Equity and Youth Development,NA,NA,Expense,Activations Equity and Youth Development,,2215715
2019,Education & Human Services,Education and Early Learning,Leadership and Administration,Departmental Indirect Costs,NA,NA,Expense,Departmental Indirect Costs,,4463698
2019,Utilities & Transportation,Seattle Streetcar,First Hill Streetcar Operations,First Hill Streetcar Ops,NA,NA,Expense,First Hill Streetcar Ops,,12069474
2019,Administration,Human Resources,Leadership and Administration,Departmental Indirect Costs,NA,NA,Expense,Departmental Indirect Costs,,2690360
2019,Utilities & Transportation,City Light,Long-Term Purchased Power,LONG TERM PURCH PWR OPS O&M,NA,NA,Expense,LONG TERM PURCH PWR OPS O&M,,298051673.08
2019,Neighborhoods & Development,Neighborhoods,Community Building,Duwamish River Opportunity Fund,NA,NA,Expense,Duwamish River Opportunity Fund,,250000
2019,"Funds, Subfunds and Other",Fiber Leasing Fund,Fiber Leasing Fund,Fiber Leasing Fund,NA,NA,Expense,Fiber Leasing Fund,,0
2019,Administration,Information Technology,"Security, Risk & Compliance","Security, Risk & Compliance",NA,NA,Expense,"Security, Risk & Compliance",,4353752
2019,Public Safety,Fire,Fire Prevention,Office of the Fire Marshall,NA,NA,Expense,Office of the Fire Marshall,,1561693
2018,"Arts, Culture & Recreation",Parks and Recreation,"Planning, Development, and Acquisition","Planning, Development, and Acquisition",NA,NA,Expense,"Planning, Development, and Acquisition",,7969884
2018,Neighborhoods & Development,Neighborhoods,Community Building,Duwamish River Opportunity Fund,NA,NA,Expense,Duwamish River Opportunity Fund,,371774
2019,Administration,Labor Standards,Office of Labor Standards,Office of Labor Standards,NA,NA,Expense,Office of Labor Standards,,4299133
2018,Utilities & Transportation,City Light,Power Supply & Environmental Affairs - CIP,Power Supply & Environmental Affairs - CIP,NA,NA,Expense,Power Supply & Environmental Affairs - CIP,,93905434
2018,Utilities & Transportation,Transportation,Mobility-Capital,Intelligent Transportation System,NA,NA,Expense,Intelligent Transportation System,,2800000
2019,Education & Human Services,Human Services,Promoting Public Health,Physical Health Care,NA,NA,Expense,Physical Health Care,,9933788
2018,Neighborhoods & Development,Planning and Community Development,Planning and Community Development,Planning Commission,NA,NA,Expense,Planning Commission,,527142
2019,Public Safety,Law,Civil,Civil,NA,NA,Expense,Civil,,14227912
2019,Administration,Civil Rights,Civil Rights,Policy,NA,NA,Expense,Policy,,608906.48
2019,Neighborhoods & Development,Construction and Inspections,Compliance,Rental Housing,NA,NA,Expense,Rental Housing,,2014134.87
2019,Utilities & Transportation,Public Utilities,Leadership and Administration,Pooled Benefits Indirect Costs,NA,NA,Expense,Pooled Benefits Indirect Costs,,2194274.35
2018,Public Safety,Fire,Fire Prevention,Office of the Fire Marshal,NA,NA,Expense,Office of the Fire Marshal,,1370816
2019,Neighborhoods & Development,Construction and Inspections,Land Use Services,Land Use Services CBA,NA,NA,Expense,Land Use Services CBA,,1672241
2019,Public Safety,Police,Office of Police Accountability,Police Accountability,NA,NA,Expense,Police Accountability,,3947291
2019,Utilities & Transportation,Public Utilities,Water Quality & Treatment,Water Quality & Treatment,NA,NA,Expense,Water Quality & Treatment,,1660000
2019,Administration,Finance and Administrative Services,Capital Development and Construction Management,Capital Dev and Const Mgmt,NA,NA,Expense,Capital Dev and Const Mgmt,,0
2019,Administration,Legislative,Legislative Department,General Expense,NA,NA,Expense,General Expense,,0
2018,Education & Human Services,Education and Early Learning,Finance and Administration,Finance and Administration,NA,NA,Expense,Finance and Administration,,3525515
2018,"Arts, Culture & Recreation",Seattle Center,Festivals,Festivals,NA,NA,Expense,Festivals,,1534397
2019,Utilities & Transportation,City Light,Customer Focused - CIP,CUSTOMER OTHER,NA,NA,Expense,CUSTOMER OTHER,,1192905
2019,Administration,Information Technology,Engineering and Operations,Enterprise Computing,NA,NA,Expense,Enterprise Computing,,21645031
2019,"Arts, Culture & Recreation",Seattle Center,Campus,Community Programs,NA,NA,Expense,Community Programs,,2536564.5
2019,Utilities & Transportation,Public Utilities,Combined Sewer Overflows,Combined Sewer Overflows,NA,NA,Expense,Combined Sewer Overflows,,71316167
2019,Utilities & Transportation,Transportation,Leadership and Administration,Pooled Benefits and PTO,NA,NA,Expense,Pooled Benefits and PTO,,30284326
2018,"Arts, Culture & Recreation",Library,Human Resources,Human Resources,NA,NA,Expense,Human Resources,,1453704
2018,Utilities & Transportation,Public Utilities,Other Operating,DWW LOB,NA,NA,Expense,DWW LOB,,49070103
2019,Utilities & Transportation,City Light,Transmission and Distribution - CIP,RADIAL,NA,NA,Expense,RADIAL,,60718640
2019,"Arts, Culture & Recreation",Seattle Center,Campus,Commercial Events,NA,NA,Expense,Commercial Events,,1933677.21
2018,Neighborhoods & Development,Construction and Inspections,Department Leadership,Finance and Accounting Services,NA,NA,Expense,Finance and Accounting Services,,14044739
2019,Administration,Finance General,Reserves,Sweetened Beverage Tax Related Job Retraining,NA,NA,Expense,Sweetened Beverage Tax Related Job Retraining,,500000
2019,Public Safety,Law,Leadership and Administration,Citywide Indirect Costs,NA,NA,Expense,Citywide Indirect Costs,,2114873
2019,Utilities & Transportation,City Light,Leadership and Administration - General Expense,DEPARTMENT WIDE COSTS,NA,NA,Expense,DEPARTMENT WIDE COSTS,,20536686.71
2018,Utilities & Transportation,Transportation,Mobility-Operations,Parking,NA,NA,Expense,Parking,,13390163
2018,Public Safety,Inspector General for Public Safety,Office of Inspector General for Public Safety,Office of Inspector General for Public Safety,NA,NA,Expense,Office of Inspector General for Public Safety,,1454802
2019,Neighborhoods & Development,Neighborhoods,Community Building,Historic Preservation,NA,NA,Expense,Historic Preservation,,865613
2018,Public Safety,Police,Special Investigations,Special Investigations,NA,NA,Expense,Special Investigations,,9260741
2019,Education & Human Services,Human Services,Promoting Public Health,HIV Management,NA,NA,Expense,HIV Management,,1039923
2019,"Arts, Culture & Recreation",Arts and Culture,Public Art,Artwork Conservation,NA,NA,Expense,Artwork Conservation,,190039
2018,Public Safety,Fire,Operations,Battalion 6,NA,NA,Expense,Battalion 6,,26026229
2018,Utilities & Transportation,Public Utilities,"Flooding, Sewer Back-up, and Landslides","Flooding, Sewer Back-up, and Landslides",NA,NA,Expense,"Flooding, Sewer Back-up, and Landslides",,16565889
2019,Utilities & Transportation,Public Utilities,Utility Service and Operations,DWW System Operations,NA,NA,Expense,DWW System Operations,,22674957.85
2019,Utilities & Transportation,Seattle Streetcar,South Lake Union Streetcar Operations,S Lake Union Streetcar Ops,NA,NA,Expense,S Lake Union Streetcar Ops,,2793955
2019,Administration,Labor Standards,Office of Labor Standards,Business Outreach and Education Fund Contracts,NA,NA,Expense,Business Outreach and Education Fund Contracts,,800000
2019,"Arts, Culture & Recreation",Parks and Recreation,Recreation Facility Programs,Aquatic & Swimming Programs,NA,NA,Expense,Aquatic & Swimming Programs,,8315407.21
2018,Utilities & Transportation,Public Utilities,Water Resources,Water Resources,NA,NA,Expense,Water Resources,,8553244
2018,Education & Human Services,Human Services,Aging and Disability Services - Area Agency on Aging,Home-Based Care,NA,NA,Expense,Home-Based Care,,28334369
2019,Public Safety,Municipal Court,Court Compliance,Court Compliance,NA,NA,Expense,Court Compliance,,5666604
2019,Administration,Information Technology,Digital Engagement,Digital Services,NA,NA,Expense,Digital Services,,3857494
2019,Public Safety,Fire,Operations,Battalion 4,NA,NA,Expense,Battalion 4,,27270907
2019,Public Safety,Police,Patrol Operations,Patrol Operations,NA,NA,Expense,Patrol Operations,,12976429
2018,Utilities & Transportation,Transportation,Mobility-Operations,Signs & Markings,NA,NA,Expense,Signs & Markings,,3453100
2019,Neighborhoods & Development,Construction and Inspections,Permit Services,Permit Services,NA,NA,Expense,Permit Services,,22573273.33
2019,Utilities & Transportation,Transportation,Mobility-Capital,Intelligent Transportation System,NA,NA,Expense,Intelligent Transportation System,,4516945
2019,Administration,Information Technology,Digital Engagement,Cable Communications,NA,NA,Expense,Cable Communications,,0
2019,Public Safety,Police,East Precinct,East Precinct,NA,NA,Expense,East Precinct,,24491836
2019,Utilities & Transportation,City Light,Power Supply & Environ Affairs - CIP,SKAGIT,NA,NA,Expense,SKAGIT,,29145102
2019,"Funds, Subfunds and Other",Debt Service,Bond Interest and Redemption,Bond Interest and Redemption,NA,NA,Expense,Bond Interest and Redemption,,2414305
2019,"Arts, Culture & Recreation",Arts and Culture,Arts and Cultural Programs,Cultural Facilities Operations,NA,NA,Expense,Cultural Facilities Operations,,842008
2019,Administration,Finance General,Reserves,Youth Opportunity Center and Housing Project,NA,NA,Expense,Youth Opportunity Center and Housing Project,,0
2019,Administration,Finance General,Reserves,Recurring Reserve-Pacific Science Center Lease Reserve,NA,NA,Expense,Recurring Reserve-Pacific Science Center Lease Reserve,,120000
2019,"Arts, Culture & Recreation",Parks and Recreation,Golf Programs,Golf Course Programs,NA,NA,Expense,Golf Course Programs,,11602434.21
2018,Public Safety,Police,West Precinct Patrol,West Precinct Patrol,NA,NA,Expense,West Precinct Patrol,,30404001
2018,"Arts, Culture & Recreation",Seattle Center,Cultural Facilities,Cultural Facilities,NA,NA,Expense,Cultural Facilities,,264558
2019,Utilities & Transportation,Public Utilities,"Flooding, Sewer Backup & Landslide","Flooding, Sewer Backup & Lndsl",NA,NA,Expense,"Flooding, Sewer Backup & Lndsl",,16029911
2019,Administration,Finance and Administrative Services,ADA Improvements,ADA Improvements,NA,NA,Expense,ADA Improvements,,750000
2018,Utilities & Transportation,City Light,Financial Services - O&M,Financial Services - O&M,NA,NA,Expense,Financial Services - O&M,,57479651
2018,"Arts, Culture & Recreation",Library,Administrative Services,Event Services,NA,NA,Expense,Event Services,,559782
2018,Public Safety,Firefighters Pension,Firefighters' Pension,Medical Benefits,NA,NA,Expense,Medical Benefits,,12000000
2019,Administration,Finance and Administrative Services,City Finance,Citywide Accounting Services,NA,NA,Expense,Citywide Accounting Services,,14110010
2018,Neighborhoods & Development,Neighborhoods,Community Building,Find It Fix It Walks,NA,NA,Expense,Find It Fix It Walks,,30000
2016,Administration,Immigrant and Refugee Affairs,CDBG - Office of Immigrant and Refugee Affairs,CDBG - Office of Immigrant and Refugee Affairs,NA,NA,Expense,CDBG - Office of Immigrant and Refugee Affairs,0,400000
2019,Utilities & Transportation,Public Utilities,Leadership and Administration,Paid Time Off Indirect Costs,NA,NA,Expense,Paid Time Off Indirect Costs,,5051238.17
2019,Utilities & Transportation,City Light,"Customer Service, Communications and Regulatory Affairs",CUST COMM REG ADMIN O&M,NA,NA,Expense,CUST COMM REG ADMIN O&M,,8826111.74
2018,Utilities & Transportation,Public Utilities,General Expense,Other General Expenses,NA,NA,Expense,Other General Expenses,,362531503
2019,Administration,Finance and Administrative Services,City Purchasing and Contracting Services,Purchasing Services,NA,NA,Expense,Purchasing Services,,3846180
2018,Neighborhoods & Development,Housing,Office of Housing Operating Fund 16600,Administration and Management - 16600,NA,NA,Expense,Administration and Management - 16600,,3257304
2019,Utilities & Transportation,City Light,Power Management and Strategic Planning O&M,PWR MGT & STRATEGIC PLAN O&M,NA,NA,Expense,PWR MGT & STRATEGIC PLAN O&M,,16230544.68
2019,Administration,Finance General,Appropriation to Special Funds,Police Relief and Pension Fund,NA,NA,Expense,Police Relief and Pension Fund,,21937218
2019,Public Safety,Fire,Operations,Communications,NA,NA,Expense,Communications,,5151374
2019,Neighborhoods & Development,Housing,Multifamily Housing,Multifamily Lending,NA,NA,Expense,Multifamily Lending,,49620985
2019,Utilities & Transportation,City Light,Leadership and Administration - General Expense,Pooled Benefits and PTO,NA,NA,Expense,Pooled Benefits and PTO,,3442177.53
2019,Administration,Finance and Administrative Services,Judgment & Claims Claims,Utility Claims Reimbursable,NA,NA,Expense,Utility Claims Reimbursable,,1732070
2019,Utilities & Transportation,City Light,"Customer Service, Communications and Regulatory Affairs",CUST COMM REG SECRTY G&A O&M,NA,NA,Expense,CUST COMM REG SECRTY G&A O&M,,0.285
2019,Administration,Finance and Administrative Services,General Government Facilities - General,General Govt Facilities,NA,NA,Expense,General Govt Facilities,,8550000
2019,"Arts, Culture & Recreation",Library,Capital Improvements,Capital Improvements,NA,NA,Expense,Capital Improvements,,3221000
2019,Administration,Information Technology,Applications Services,Divisional Indirect - Applications Services,NA,NA,Expense,Divisional Indirect - Applications Services,,-515866
2019,Utilities & Transportation,Transportation,Maintenance Operations,Tree & Landscape Maintenance,NA,NA,Expense,Tree & Landscape Maintenance,,5847777
2018,Utilities & Transportation,Public Utilities,Administration,Administration,NA,NA,Expense,Administration,,39112005
2019,Utilities & Transportation,City Light,Transmission and Distribution - CIP,TRANSMISSION,NA,NA,Expense,TRANSMISSION,,11250351
2019,Neighborhoods & Development,Construction and Inspections,Leadership and Administration,Departmental Indirect Costs,NA,NA,Expense,Departmental Indirect Costs,,3467073
2018,"Arts, Culture & Recreation",Library,Library Programs and Services,Collection and Access Services,NA,NA,Expense,Collection and Access Services,,17851332
2018,Neighborhoods & Development,Construction and Inspections,Code Compliance,Code Compliance,NA,NA,Expense,Code Compliance,,6437195
2018,Education & Human Services,Human Services,Public Health Services,Health Care Access,NA,NA,Expense,Health Care Access,,395420
2019,Administration,Information Technology,IT Initiatives,Citywide IT Initiatives,NA,NA,Expense,Citywide IT Initiatives,,1564230
2019,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Sidewalk Maintenance,NA,NA,Expense,Sidewalk Maintenance,,5692001
2019,Public Safety,Fire,Operations,Battalion 5,NA,NA,Expense,Battalion 5,,25752466
2018,Neighborhoods & Development,Neighborhoods,Community Building,P-Patch Community Gardens,NA,NA,Expense,P-Patch Community Gardens,,863676
2019,Administration,Information Technology,Applications Services,Applications,NA,NA,Expense,Applications,,29759810
2019,Utilities & Transportation,City Light,Power Supply & Environ Affairs - CIP,FLEETS AND FACILITIES,NA,NA,Expense,FLEETS AND FACILITIES,,18530346
2019,Administration,Information Technology,Applications Services,Applications Maintenance,NA,NA,Expense,Applications Maintenance,,3058407
2018,Education & Human Services,Human Services,Aging and Disability Services - Area Agency on Aging,Age Friendly Seattle Office,NA,NA,Expense,Age Friendly Seattle Office,,781870
2018,Education & Human Services,Seattle Preschool Levy,Capacity Building,Capacity Building,NA,NA,Expense,Capacity Building,,2913052
2018,Public Safety,Fire,Operations,Battalion 7,NA,NA,Expense,Battalion 7,,23481127
2019,Public Safety,Fire,Fire Prevention,Fire Investigations,NA,NA,Expense,Fire Investigations,,1436857
2019,Education & Human Services,Education and Early Learning,Leadership and Administration,Citywide Indirect Costs,NA,NA,Expense,Citywide Indirect Costs,,2003756
2019,Utilities & Transportation,City Light,Transmission and Distribution - CIP,SUBSTATIONS,NA,NA,Expense,SUBSTATIONS,,29573335
2019,"Arts, Culture & Recreation",Parks and Recreation,Zoo and Aquarium Programs,Zoo and Aquarium Programs,NA,NA,Expense,Zoo and Aquarium Programs,,7108989
2018,Education & Human Services,Human Services,Public Health Services,Alcohol and Other Drugs,NA,NA,Expense,Alcohol and Other Drugs,,1887870
2018,Utilities & Transportation,City Light,Power Management and Strategic Planning O&M,Power Management and Strategic Planning O&M,NA,NA,Expense,Power Management and Strategic Planning O&M,,16295977
2018,"Arts, Culture & Recreation",Library,Institutional and Strategic Advancement,Institutional & Strategic Advancement,NA,NA,Expense,Institutional & Strategic Advancement,,205124
2018,Public Safety,Police,Special Operations,Special Operations,NA,NA,Expense,Special Operations,,53302323
2018,Utilities & Transportation,Public Utilities,Other Operating,Pre-Capital Planning & Development,NA,NA,Expense,Pre-Capital Planning & Development,,3858804
2018,"Arts, Culture & Recreation",Seattle Center,McCaw Hall,McCaw Hall,NA,NA,Expense,McCaw Hall,,4810674
2019,Utilities & Transportation,Transportation,Mobility-Capital,New Trails and Bike Paths,NA,NA,Expense,New Trails and Bike Paths,,20619830
2019,Utilities & Transportation,Transportation,Mobility-Capital,Neighborhood Enhancements,NA,NA,Expense,Neighborhood Enhancements,,7469534
2019,Utilities & Transportation,City Light,Transmission and Distribution O&M,XSMN & DIST DEFERRED O&M,NA,NA,Expense,XSMN & DIST DEFERRED O&M,,0.1987
2019,Administration,Information Technology,Applications Services,Cross Platform Services,NA,NA,Expense,Cross Platform Services,,6699217
2019,Administration,Finance and Administrative Services,Leadership and Administration,Indirect Cost Recovery Offset,NA,NA,Expense,Indirect Cost Recovery Offset,,-41699634
2019,Administration,Information Technology,Capital Improvement Projects,Application Services CIP,NA,NA,Expense,Application Services CIP,,10077064
2019,Utilities & Transportation,Public Utilities,Watershed Stewardship,Watershed Stewardship,NA,NA,Expense,Watershed Stewardship,,1192633
2019,Administration,Finance and Administrative Services,Central Waterfront Improvement Program Financial Support,Prog-Central Waterfront Improv,NA,NA,Expense,Prog-Central Waterfront Improv,,2049092
2018,Public Safety,Fire,Fire Prevention,Special Events,NA,NA,Expense,Special Events,,547204
2019,Administration,Information Technology,Engineering and Operations,Network and Communications Technology,NA,NA,Expense,Network and Communications Technology,,19009130
2019,Utilities & Transportation,Public Utilities,Rehabilitation,Rehabilitation,NA,NA,Expense,Rehabilitation,,45274241
2019,Administration,Information Technology,IT Initiatives,Budget for Billed Services,NA,NA,Expense,Budget for Billed Services,,15228621
2019,"Arts, Culture & Recreation",Seattle Center,Building and Campus Improvements,Utility Infrstr MP and Repairs,NA,NA,Expense,Utility Infrstr MP and Repairs,,705000
2018,Public Safety,Police,Patrol Operations,Patrol Operations,NA,NA,Expense,Patrol Operations,,13383831
2019,Utilities & Transportation,Public Utilities,General Expense,Taxes and Fees,NA,NA,Expense,Taxes and Fees,,137269086
2019,Administration,Information Technology,IT Initiatives,Department Operational Projects,NA,NA,Expense,Department Operational Projects,,25726752
2018,Utilities & Transportation,City Light,Customer Focused - CIP,Customer Focused - CIP,NA,NA,Expense,Customer Focused - CIP,,93130550
2018,Public Safety,Fire,Fire Prevention,Code Compliance,NA,NA,Expense,Code Compliance,,558831
2019,Administration,Cable Television Franchise Subfund,Cable Television Franchise Fund,Cable Franchise for Library,NA,NA,Expense,Cable Franchise for Library,,642000
2019,Administration,Finance and Administrative Services,Office of Constituent Services,Office of Constituent Services,NA,NA,Expense,Office of Constituent Services,,6728148
2019,Utilities & Transportation,City Light,Customer Focused - CIP,TRANSPORTATION RELOCATIONS,NA,NA,Expense,TRANSPORTATION RELOCATIONS,,30074988
2018,Utilities & Transportation,Public Utilities,Shared Cost Projects,Shared Cost Projects,NA,NA,Expense,Shared Cost Projects,,108553059
2019,Utilities & Transportation,City Light,Environmental Affairs O&M,ENVIRO AFFAIRS DEFERRED O&M,NA,NA,Expense,ENVIRO AFFAIRS DEFERRED O&M,,2606018.6
2019,Neighborhoods & Development,Housing,Leadership and Administration,Departmental Indirect Costs,NA,NA,Expense,Departmental Indirect Costs,,3629311
2019,"Arts, Culture & Recreation",Parks and Recreation,Debt and Special Funding,Debt and Special Funding,NA,NA,Expense,Debt and Special Funding,,6038999.97
2018,Utilities & Transportation,Transportation,Major Projects,Alaskan Way Viaduct and Seawall Replacement,NA,NA,Expense,Alaskan Way Viaduct and Seawall Replacement,,36459642
2019,Utilities & Transportation,Public Utilities,Shared Cost Projects,Shared Cost Projects,NA,NA,Expense,Shared Cost Projects,,129345465
2018,Utilities & Transportation,Transportation,Bridges & Structures,Structures Engineering,NA,NA,Expense,Structures Engineering,,938380
2019,"Arts, Culture & Recreation",Seattle Center,Leadership and Administration,CIP Indirect Costs,NA,NA,Expense,CIP Indirect Costs,,0.2485
2018,Neighborhoods & Development,Neighborhoods,Community Building,Historic Preservation,NA,NA,Expense,Historic Preservation,,880601
2018,Education & Human Services,Human Services,Public Health Services,HIV/AIDS,NA,NA,Expense,HIV/AIDS,,969532
2019,"Arts, Culture & Recreation",Seattle Center,Building and Campus Improvements,Facility Infrastructure Renova,NA,NA,Expense,Facility Infrastructure Renova,,0.0001
2018,Utilities & Transportation,Public Utilities,Distribution,Distribution,NA,NA,Expense,Distribution,,34686903
2019,Administration,Finance and Administrative Services,FAS Oversight-External Projects,FAS Oversight - External Proj,NA,NA,Expense,FAS Oversight - External Proj,,2500000
2019,Utilities & Transportation,Public Utilities,Utility Service and Operations,Water System Operations,NA,NA,Expense,Water System Operations,,18763120.2
2019,Public Safety,Fire,Operations,Battalion 6,NA,NA,Expense,Battalion 6,,24159793
2019,Utilities & Transportation,City Light,"Customer Service, Communications and Regulatory Affairs",CUST COMM REG OPS O&M,NA,NA,Expense,CUST COMM REG OPS O&M,,83431726.74
2019,Utilities & Transportation,Transportation,Major Maintenance/Replacement,"Signs, Signals and Markings",NA,NA,Expense,"Signs, Signals and Markings",,1552534
2018,Public Safety,Fire,Fire Prevention,Fire Investigation,NA,NA,Expense,Fire Investigation,,1354561
2018,Utilities & Transportation,Transportation,Mobility-Capital,Transit & HOV,NA,NA,Expense,Transit & HOV,,47899769
2019,Administration,Finance and Administrative Services,Seattle Animal Shelter,Seattle Animal Shelter,NA,NA,Expense,Seattle Animal Shelter,,5910611
2019,Education & Human Services,Human Services,Preparing Youth for Success,Safety,NA,NA,Expense,Safety,,6711832
2019,Administration,Finance and Administrative Services,Judgment & Claims Litigation,GF Judgments,NA,NA,Expense,GF Judgments,,8489019
2019,Neighborhoods & Development,Construction and Inspections,Compliance,Compliance,NA,NA,Expense,Compliance,,6101194.32
2019,Utilities & Transportation,Transportation,Mobility Operations,Parking & Curbspace,NA,NA,Expense,Parking & Curbspace,,13670815
2019,Administration,Information Technology,Engineering and Operations,Customer Support Services,NA,NA,Expense,Customer Support Services,,22437775
2019,Administration,Finance General,Reserves,Community Health Engagement Location,NA,NA,Expense,Community Health Engagement Location,,0
2019,Administration,Finance and Administrative Services,Leadership and Administration,Departmental Indirect Costs,NA,NA,Expense,Departmental Indirect Costs,,5433491
2019,"Arts, Culture & Recreation",Parks and Recreation,Parks and Open Space,Citywide Programs,NA,NA,Expense,Citywide Programs,,1910094.85
2018,Utilities & Transportation,Transportation,Department Management,Indirect Cost Recovery - Department Management,NA,NA,Expense,Indirect Cost Recovery - Department Management,,-36160318
2019,Utilities & Transportation,City Light,Transmission and Distribution O&M,TRANSMISSION & DIST ADMIN O&M,NA,NA,Expense,TRANSMISSION & DIST ADMIN O&M,,5949982.16
2018,Neighborhoods & Development,Housing,CDBG - Office of Housing,Homeownership and Sustainability - CDBG,NA,NA,Expense,Homeownership and Sustainability - CDBG,,823187
2019,Utilities & Transportation,Public Utilities,Leadership and Administration,Citywide Indirect Costs,NA,NA,Expense,Citywide Indirect Costs,,60458561.37
2019,Utilities & Transportation,City Light,Debt Services,DEBT SVS OPS,NA,NA,Expense,DEBT SVS OPS,,230449285.6
2019,Utilities & Transportation,Transportation,General Expense,Judgment & Claims,NA,NA,Expense,Judgment & Claims,,2590087
2018,"Arts, Culture & Recreation",Seattle Center,Commercial Events,Commercial Events,NA,NA,Expense,Commercial Events,,1714078
2019,Administration,Information Technology,Leadership and Administration,Strategy & Planning,NA,NA,Expense,Strategy & Planning,,2126097
2019,Utilities & Transportation,City Light,Engineering and Technology Innovation O&M,ENG & TECH INNOVTN ADMIN O&M,NA,NA,Expense,ENG & TECH INNOVTN ADMIN O&M,,17521733.08
2018,Neighborhoods & Development,Construction and Inspections,Construction Inspections,Site Review and Inspection,NA,NA,Expense,Site Review and Inspection,,5114594
2019,Administration,Finance and Administrative Services,City Finance,City Financial Management,NA,NA,Expense,City Financial Management,,2270205
2019,Utilities & Transportation,City Light,Customer Focused - CIP,CUSTOMER AND BILLING,NA,NA,Expense,CUSTOMER AND BILLING,,64153
2018,Neighborhoods & Development,Construction and Inspections,Department Leadership,Director's Office,NA,NA,Expense,Director's Office,,926773
2018,Utilities & Transportation,Transportation,Major Projects,SR-520,NA,NA,Expense,SR-520,,931446
2018,Utilities & Transportation,Transportation,Mobility-Capital,Sidewalks & Pedestrian Facilities,NA,NA,Expense,Sidewalks & Pedestrian Facilities,,17414328
2019,"Arts, Culture & Recreation",Seattle Center,Campus,Cultural Facilities,NA,NA,Expense,Cultural Facilities,,276071.11
2018,Neighborhoods & Development,Economic Development,Office of Economic Development,Business Services,NA,NA,Expense,Business Services,,7905709
2019,"Arts, Culture & Recreation",Seattle Center,Building and Campus Improvements,Parking Repairs & Improvements,NA,NA,Expense,Parking Repairs & Improvements,,6500000
2018,Education & Human Services,Human Services,Leadership and Administration,Financial Management,NA,NA,Expense,Financial Management,,3685829
2019,Administration,Finance and Administrative Services,Information Technology,Information Technology,NA,NA,Expense,Information Technology,,1333000
2019,"Arts, Culture & Recreation",Seattle Center,Building and Campus Improvements,Campuswide Improvements and Re,NA,NA,Expense,Campuswide Improvements and Re,,2888000
2019,"Arts, Culture & Recreation",Parks and Recreation,Building For The Future,Building For The Future - CIP,NA,NA,Expense,Building For The Future - CIP,,25388999.62
2019,Utilities & Transportation,City Light,Leadership and Administration,Indirect Cost Recovery Offset,NA,NA,Expense,Indirect Cost Recovery Offset,,-6349904.53
2019,Utilities & Transportation,Public Utilities,Utility Service and Operations,Water Distribution System,NA,NA,Expense,Water Distribution System,,15908404.53
2018,Neighborhoods & Development,Construction and Inspections,Construction Inspections,Construction Inspections Unallocated CBA,NA,NA,Expense,Construction Inspections Unallocated CBA,,2318752
2018,"Arts, Culture & Recreation",Library,Chief Librarian's Office,Chief Librarian,NA,NA,Expense,Chief Librarian,,508474
2018,Public Safety,Fire,Operations,Battalion 3 - Medic One,NA,NA,Expense,Battalion 3 - Medic One,,16876623
2018,Education & Human Services,Education - Support Services Levy,Early Learning and School Readiness,Early Learning and School Readiness,NA,NA,Expense,Early Learning and School Readiness,,11084099
2018,Utilities & Transportation,Public Utilities,General Expense,Debt Service,NA,NA,Expense,Debt Service,,173597214
2019,Neighborhoods & Development,Economic Development,Leadership and Administration,Pooled Benefits,NA,NA,Expense,Pooled Benefits,,480066
2019,Public Safety,Police,Criminal Investigations,Criminal Investigations,NA,NA,Expense,Criminal Investigations,,12397184
2018,Education & Human Services,Education and Early Learning,Early Learning,Early Learning,NA,NA,Expense,Early Learning,,43017277
2018,Public Safety,Fire,Administration,Finance,NA,NA,Expense,Finance,,1584536
2018,Public Safety,Municipal Court,Court Administration,Court Administration,NA,NA,Expense,Court Administration,,7896890
2019,Administration,Finance General,Appropriation to Special Funds,Emergency Subfund,NA,NA,Expense,Emergency Subfund,,1706916
2018,Public Safety,Fire,Administration,Office of the Chief,NA,NA,Expense,Office of the Chief,,1161000
2019,Public Safety,Police Relief and Pension,Police Relief and Pension,Medical Benefits,NA,NA,Expense,Medical Benefits,,15380000
2018,Administration,Finance General,Support to Operating Funds,Construction and Inspections Fund,NA,NA,Expense,Construction and Inspections Fund,,6970696
2018,"Funds, Subfunds and Other",Judgment/Claims Subfund,Claim Expenses,Claim Expenses,NA,NA,Expense,Claim Expenses,,3524179
2018,Administration,Legislative,Legislative Department,Central Staff,NA,NA,Expense,Central Staff,,3332193
2014,"Funds, Subfunds & Other",Cumulative Reserve Subfund,CRS REET I Support to Transportation,Trails and Bike Paths - REET I,NA,NA,Expense,Trails and Bike Paths - REET I,0,400000
2012,"Funds, Subfunds & Other",Cumulative Reserve Subfund,Tenant Relocation Assistance Program - CRS-UR,Tenant Relocation Assistance Program,NA,NA,Expense,Tenant Relocation Assistance Program,0,74000
